!!!SBtab DocumentName='Pathway Model' SBtabVersion='1.0'	
!!SBtab TableName='Reaction' TableID='Reaction' TableType='Reaction'  	
!ReactionFormula	!RelativeFlux
Acetyl-CoA + Oxaloacetate + H2O <=> Citrate + CoA	1
citrate <=> cis-aconitate + h2o	1
cis-aconitate + h2o <=> isocitrate	1
Isocitrate + NADP <=> 2-Oxoglutarate + NADPH + CO2	1
NADH + NH3 + 2-Oxoglutarate <=> H2O + NAD + L-Glutamate	1
L-Glutamate <=> 3-methylaspartate	1
3-methylaspartate <=> mesaconate + nh3	1
mesaconate + succinyl-CoA <=> mesaconyl-CoA + succinate	1
mesaconyl-CoA + h2o <=> beta-methylmalyl-coA	1
beta-methylmalyl-CoA <=> propionyl-CoA + glyoxylate	1
Propionyl-CoA + atp + h2o + co2 <=> s-methylmalonyl-CoA + adp + orthophosphate	1
s-methylmalonyl-CoA <=> r-methylmalonyl-CoA	1
r-methylmalonyl-CoA <=> succinyl-coA	1
succinate + quinone <=> fumarate + Quinol	1
H2O + Fumarate <=> Malate	1
Malate + NAD  <=> oxaloacetate + nadh	1
Glyoxylate + Acetyl-CoA <=> Malyl-CoA	1
Malyl-CoA + H2O <=> Malate + CoA	1
Malate + NAD  <=> Pyruvate + CO2 + NADH	1
