!!!SBtab DocumentName='Pathway Model' SBtabVersion='1.0'	
!!SBtab TableName='Reaction' TableID='Reaction' TableType='Reaction'  	
!ReactionFormula	!RelativeFlux
2 acetyl-coA <=> acetoacetyl-CoA + CoA	1
Acetoacetyl-CoA + NADH <=> 3-Hydroxybutyryl-CoA + NAD 	1
3-Hydroxybutyryl-CoA <=> Crotonyl-CoA + H2O	1
Crotonyl-CoA + CO2 + NADPH <=> s-2-Ethylmalonyl-CoA + NADP	1
s-2-ethylmalonyl-CoA  <=> (2r)-ethylmalonyl-CoA	1
(2r)-ethylmalonyl-CoA <=> Methylsuccinyl-CoA	1
methylsuccinyl-coA  + quinone <=> mesaconyl-c1-coA + quinol	1
Mesaconyl-c1-CoA <=> Mesaconyl-c4-CoA	1
Mesaconyl-c4-CoA + H2O <=> Citramalyl-CoA	1
citramalyl-CoA <=> acetyl-CoA + pyruvate	1
