!!!SBtab DocumentName='report' SBtabVersion='1.0' Date='2024-5-6'
!!SBtab TableID='Predicted concentrations' TableType='Quantity' TableName='Predicted concentrations' SBtabVersion='1.0' Unit='M'
!QuantityType	!Compound	!Value
concentration	ATP	5.000e-03
concentration	Acetyl_CoA	4.405e-04
concentration	CO2	1.000e-05
concentration	H2O	1.000e+00
concentration	ADP	5.000e-04
concentration	Malonyl_CoA	6.648e-05
concentration	Phosphate	1.000e-02
concentration	Nicotinamide_adenine_dinucleotide_phosphate_reduced	1.000e-04
concentration	Coenzyme_A	1.000e-03
concentration	Malonate_semialdehyde	4.881e-05
concentration	Nicotinamide_adenine_dinucleotide_phosphate	1.000e-05
concentration	3_Hydroxypropanoate	1.000e-02
concentration	Lactoyl_CoA	5.481e-05
concentration	2_hydroxypropanoate	1.000e-06
concentration	3hpcoa	1.825e-04
concentration	14_benzoquinones	1.092e-05
concentration	Hydroquinone	9.157e-04
concentration	Pyruvate	9.157e-04

!!SBtab TableID='Predicted Gibbs energies' TableType='Quantity' TableName='Predicted Gibbs energies' SBtabVersion='1.0' Unit='kJ/mol'
!QuantityType	!Reaction	!Value
reaction gibbs energy	R00000	-1.043e+01
reaction gibbs energy	R00001	-1.075e+01
reaction gibbs energy	R00002	-1.293e+01
reaction gibbs energy	R00003	-7.370e+00
reaction gibbs energy	R00004	-7.370e+00
reaction gibbs energy	R00005	-2.684e+01

