!!!SBtab DocumentName='report' SBtabVersion='1.0' Date='2024-5-6'
!!SBtab TableID='Predicted concentrations' TableType='Quantity' TableName='Predicted concentrations' SBtabVersion='1.0' Unit='M'
!QuantityType	!Compound	!Value
concentration	ATP	5.000e-03
concentration	Acetyl_CoA	7.811e-03
concentration	CO2	1.000e-05
concentration	H2O	1.000e+00
concentration	ADP	5.000e-04
concentration	Malonyl_CoA	3.641e-03
concentration	Phosphate	1.000e-02
concentration	Nicotinamide_adenine_dinucleotide_phosphate_reduced	1.000e-04
concentration	Coenzyme_A	1.000e-03
concentration	Malonate_semialdehyde	1.000e-02
concentration	Nicotinamide_adenine_dinucleotide_phosphate	1.000e-05
concentration	L_Alanine	8.639e-06
concentration	Beta_Alanine	1.158e-03
concentration	Pyruvate	1.000e-06

!!SBtab TableID='Predicted Gibbs energies' TableType='Quantity' TableName='Predicted Gibbs energies' SBtabVersion='1.0' Unit='kJ/mol'
!QuantityType	!Reaction	!Value
reaction gibbs energy	R00000	-7.631e+00
reaction gibbs energy	R00001	-7.476e+00
reaction gibbs energy	R00002	-6.965e+00
reaction gibbs energy	R00003	-6.965e+00

