!!!SBtab DocumentName='report' SBtabVersion='1.0' Date='2024-5-9'
!!SBtab TableID='Predicted concentrations' TableType='Quantity' TableName='Predicted concentrations' SBtabVersion='1.0' Unit='M'
!QuantityType	!Compound	!Value
concentration	Acetyl_CoA	4.216e-05
concentration	H2O	1.000e+00
concentration	Oxaloacetate	2.730e-06
concentration	Citrate	6.602e-04
concentration	Coenzyme_A	1.000e-03
concentration	Cis_Aconitate	4.914e-05
concentration	threo_isocitric_acid	4.108e-05
concentration	Nicotinamide_adenine_dinucleotide_phosphate	1.000e-05
concentration	2_Oxoglutarate	9.019e-05
concentration	CO2	1.000e-05
concentration	Nicotinamide_adenine_dinucleotide_phosphate_reduced	1.000e-04
concentration	Ammonia	1.000e-02
concentration	Nicotinamide_adenine_dinucleotide_reduced	1.000e-04
concentration	L_Glutamate	1.000e-02
concentration	Nicotinamide_adenine_dinucleotide	1.000e-03
concentration	R_2_Methylamino_succinic_acid	1.000e-06
concentration	2E_2_methylbut_2_enedioic_acid	2.305e-04
concentration	Succinyl_CoA	1.487e-04
concentration	2_methylfumaroyl_CoA	1.647e-04
concentration	Succinate	6.626e-05
concentration	L_erythro_3_methylmalyl_CoA	5.104e-05
concentration	Glyoxylate	2.640e-04
concentration	Propanoyl_CoA	1.229e-04
concentration	ATP	5.000e-03
concentration	ADP	5.000e-04
concentration	Phosphate	1.000e-02
concentration	S_Methylmalonyl_CoA	1.064e-04
concentration	R_Methylmalonyl_CoA	6.324e-05
concentration	14_benzoquinones	3.527e-05
concentration	Fumarate	2.393e-04
concentration	Hydroquinone	2.836e-04
concentration	L_Malate	1.244e-03
concentration	3S_3_Carboxy_3_hydroxypropanoyl_CoA	1.025e-05
concentration	Pyruvate	5.716e-04

!!SBtab TableID='Predicted Gibbs energies' TableType='Quantity' TableName='Predicted Gibbs energies' SBtabVersion='1.0' Unit='kJ/mol'
!QuantityType	!Reaction	!Value
reaction gibbs energy	R00000	-1.732e+01
reaction gibbs energy	R00001	2.034e+00
reaction gibbs energy	R00002	-1.264e+00
reaction gibbs energy	R00003	-1.627e+01
reaction gibbs energy	R00004	-4.639e+00
reaction gibbs energy	R00005	7.520e+00
reaction gibbs energy	R00006	-1.682e+01
reaction gibbs energy	R00007	-3.854e+00
reaction gibbs energy	R00008	7.865e-01
reaction gibbs energy	R00009	-3.177e+00
reaction gibbs energy	R00010	-2.017e+00
reaction gibbs energy	R00011	-1.129e+00
reaction gibbs energy	R00012	-6.242e+00
reaction gibbs energy	R00013	-9.434e+00
reaction gibbs energy	R00014	6.654e-01
reaction gibbs energy	R00015	5.626e+00
reaction gibbs energy	R00016	7.418e-01
reaction gibbs energy	R00017	-2.771e+01
reaction gibbs energy	R00018	-2.406e+01

